qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
707	BGE-o2	0.408866	0.075797	0.403193	0.062432	0.105567	0.007147	0.297690	0.100909	0.173476	0.076959
707	BGE-o4	0.382791	0.049721	0.393222	0.052461	0.101517	0.003096	0.297690	0.100909	0.166180	0.069662
707	BGE-o8	0.376916	0.043847	0.386961	0.046200	0.102085	0.003665	0.297690	0.100909	0.158364	0.061847
897	BM25	0.448074	0.000000	0.437129	0.000000	0.106483	0.000000	0.218997	0.000000	0.134194	0.000000
897	DeepSeek-RRF	0.506727	0.058653	0.478918	0.041789	0.098195	-0.008289	0.283627	0.064630	0.166514	0.032320
897	MiniLM-o4	0.504315	0.056241	0.509977	0.072848	0.096110	-0.010373	0.283627	0.064630	0.167730	0.033536
897	BGE-o1	0.653836	0.205762	0.585087	0.147958	0.077464	-0.029019	0.283627	0.064630	0.150112	0.015918
897	BGE-o2	0.571745	0.123671	0.571760	0.134631	0.099768	-0.006716	0.283627	0.064630	0.168979	0.034785
897	BGE-o4	0.503613	0.055539	0.497628	0.060499	0.100262	-0.006221	0.283627	0.064630	0.171097	0.036903
897	BGE-o8	0.503613	0.055539	0.485942	0.048813	0.099379	-0.007105	0.283627	0.064630	0.169210	0.035016
