qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
273	BGE-o4	0.505036	0.109016	0.404764	0.043334	0.104889	-0.002528	0.251931	0.042849	0.112136	0.024558
273	Ensemble-o4-m1-b1	0.517179	0.121159	0.436063	0.074633	0.097322	-0.010095	0.251931	0.042849	0.113018	0.025441
273	Ensemble-o6-m1-b1	0.521590	0.125570	0.421714	0.060284	0.100516	-0.006902	0.251931	0.042849	0.113191	0.025614
273	Ensemble-o8-m1-b1	0.509061	0.113041	0.408225	0.046795	0.101520	-0.005897	0.251931	0.042849	0.111792	0.024214
273	Ensemble-o4-m05-b1	0.510794	0.114775	0.414484	0.053054	0.098327	-0.009091	0.251931	0.042849	0.113121	0.025544
273	Ensemble-o4-m1-b05	0.518705	0.122685	0.421812	0.060382	0.096925	-0.010492	0.251931	0.042849	0.113047	0.025470
273	Ensemble-o6-m05-b1	0.505569	0.109549	0.400725	0.039295	0.101520	-0.005897	0.251931	0.042849	0.111888	0.024311
300	BM25	0.374592	0.000000	0.379544	0.000000	0.097720	0.000000	0.180840	0.000000	0.103511	0.000000
300	MiniLM-o4	0.455068	0.080476	0.462655	0.083111	0.090205	-0.007515	0.254741	0.073902	0.147174	0.043664
300	BGE-o2	0.477145	0.102552	0.448521	0.068978	0.086638	-0.011082	0.254741	0.073902	0.137039	0.033529
300	BGE-o4	0.419253	0.044661	0.418357	0.038813	0.092042	-0.005678	0.254741	0.073902	0.139704	0.036194
300	Ensemble-o4-m1-b1	0.497290	0.122698	0.479961	0.100418	0.093802	-0.003918	0.254741	0.073902	0.148384	0.044874
300	Ensemble-o6-m1-b1	0.432001	0.057409	0.443226	0.063682	0.093355	-0.004365	0.254741	0.073902	0.146089	0.042579
300	Ensemble-o8-m1-b1	0.432001	0.057409	0.427888	0.048344	0.092042	-0.005678	0.254741	0.073902	0.144266	0.040755
300	Ensemble-o4-m05-b1	0.422377	0.047784	0.417291	0.037748	0.092528	-0.005192	0.254741	0.073902	0.144655	0.041145
300	Ensemble-o4-m1-b05	0.457785	0.083193	0.464911	0.085367	0.093014	-0.004706	0.254741	0.073902	0.148771	0.045261
300	Ensemble-o6-m05-b1	0.418083	0.043491	0.418754	0.039211	0.090730	-0.006990	0.254741	0.073902	0.142802	0.039291
407	BM25	0.285418	0.000000	0.333602	0.000000	0.112872	0.000000	0.270907	0.000000	0.072813	0.000000
407	MiniLM-o4	0.333195	0.047777	0.369168	0.035565	0.109007	-0.003866	0.262441	-0.008466	0.080749	0.007936
407	BGE-o2	0.387131	0.101713	0.386520	0.052917	0.111913	-0.000959	0.262441	-0.008466	0.088372	0.015559
407	BGE-o4	0.294931	0.009513	0.348595	0.014992	0.106242	-0.006630	0.262441	-0.008466	0.081200	0.008387
407	Ensemble-o4-m1-b1	0.380894	0.095476	0.388522	0.054919	0.108991	-0.003881	0.262441	-0.008466	0.088180	0.015366
